game,top_1_game,top_1_sim,top_2_game,top_2_sim,top_3_game,top_3_sim,top_4_game,top_4_sim,top_5_game,top_5_sim,top_6_game,top_6_sim,top_7_game,top_7_sim,top_8_game,top_8_sim,top_9_game,top_9_sim,top_10_game,top_10_sim
TI5 - Player Profiles EHOME - ROTK,TI5 - Player Profiles Invictus Gaming - Ferrari,0.9999999999999999,TI5 - Player Profiles Fnatic - Kecik-Imba,0.9999999999999999,TI5 - Player Profiles Empire - Alohadance,0.9999999999999999,TI5 - CDEC's Journey to The Majors,0.9999999999999999,TI5 - Player Profiles EG - Suma1L,0.9999999999999999,TI5 - Player Profiles Complexity - zfreek,0.9999999999999999,TI5 - Player Profiles Cloud9 - NoTail,0.9999999999999999,TI5 - EG Champions of TI5,0.9999999999999999,TI5 - Player Profiles VirtusPro - FNG,0.9999999999999999,TI5 - Player Profiles Vici - fy,0.9999999999999999
TI5 - Player Profiles Empire - Alohadance,TI5 - Player Profiles Invictus Gaming - Ferrari,0.9999999999999999,TI5 - Player Profiles Fnatic - Kecik-Imba,0.9999999999999999,TI5 - CDEC's Journey to The Majors,0.9999999999999999,TI5 - Player Profiles EHOME - ROTK,0.9999999999999999,TI5 - Player Profiles EG - Suma1L,0.9999999999999999,TI5 - Player Profiles Complexity - zfreek,0.9999999999999999,TI5 - Player Profiles Cloud9 - NoTail,0.9999999999999999,TI5 - EG Champions of TI5,0.9999999999999999,TI5 - Player Profiles VirtusPro - FNG,0.9999999999999999,TI5 - Player Profiles Vici - fy,0.9999999999999999
TI5 - Player Profiles Fnatic - Kecik-Imba,TI5 - Player Profiles Invictus Gaming - Ferrari,0.9999999999999999,TI5 - CDEC's Journey to The Majors,0.9999999999999999,TI5 - Player Profiles Empire - Alohadance,0.9999999999999999,TI5 - Player Profiles EHOME - ROTK,0.9999999999999999,TI5 - Player Profiles EG - Suma1L,0.9999999999999999,TI5 - Player Profiles Complexity - zfreek,0.9999999999999999,TI5 - Player Profiles Cloud9 - NoTail,0.9999999999999999,TI5 - EG Champions of TI5,0.9999999999999999,TI5 - Player Profiles VirtusPro - FNG,0.9999999999999999,TI5 - Player Profiles Vici - fy,0.9999999999999999
TI5 - Player Profiles Invictus Gaming - Ferrari,TI5 - CDEC's Journey to The Majors,0.9999999999999999,TI5 - Player Profiles Fnatic - Kecik-Imba,0.9999999999999999,TI5 - Player Profiles Empire - Alohadance,0.9999999999999999,TI5 - Player Profiles EHOME - ROTK,0.9999999999999999,TI5 - Player Profiles EG - Suma1L,0.9999999999999999,TI5 - Player Profiles Complexity - zfreek,0.9999999999999999,TI5 - Player Profiles Cloud9 - NoTail,0.9999999999999999,TI5 - EG Champions of TI5,0.9999999999999999,TI5 - Player Profiles VirtusPro - FNG,0.9999999999999999,TI5 - Player Profiles Vici - fy,0.9999999999999999
TI5 - Player Profiles LGD - Xiao8,TI5 - Player Profiles Invictus Gaming - Ferrari,0.9999999999999999,TI5 - Player Profiles Fnatic - Kecik-Imba,0.9999999999999999,TI5 - Player Profiles Empire - Alohadance,0.9999999999999999,TI5 - Player Profiles EHOME - ROTK,0.9999999999999999,TI5 - Player Profiles EG - Suma1L,0.9999999999999999,TI5 - Player Profiles Complexity - zfreek,0.9999999999999999,TI5 - Player Profiles Cloud9 - NoTail,0.9999999999999999,TI5 - EG Champions of TI5,0.9999999999999999,TI5 - Player Profiles VirtusPro - FNG,0.9999999999999999,TI5 - Player Profiles Vici - fy,0.9999999999999999
TI5 - Player Profiles MVPHot6 - HEEN,TI5 - Player Profiles Invictus Gaming - Ferrari,0.9999999999999999,TI5 - Player Profiles Fnatic - Kecik-Imba,0.9999999999999999,TI5 - Player Profiles Empire - Alohadance,0.9999999999999999,TI5 - Player Profiles EHOME - ROTK,0.9999999999999999,TI5 - Player Profiles EG - Suma1L,0.9999999999999999,TI5 - Player Profiles Complexity - zfreek,0.9999999999999999,TI5 - Player Profiles Cloud9 - NoTail,0.9999999999999999,TI5 - EG Champions of TI5,0.9999999999999999,TI5 - Player Profiles VirtusPro - FNG,0.9999999999999999,TI5 - Player Profiles Vici - fy,0.9999999999999999
TI5 - Player Profiles NAVI - XBOCT,TI5 - Player Profiles Invictus Gaming - Ferrari,0.9999999999999999,TI5 - Player Profiles Fnatic - Kecik-Imba,0.9999999999999999,TI5 - Player Profiles Empire - Alohadance,0.9999999999999999,TI5 - Player Profiles EHOME - ROTK,0.9999999999999999,TI5 - Player Profiles EG - Suma1L,0.9999999999999999,TI5 - Player Profiles Complexity - zfreek,0.9999999999999999,TI5 - Player Profiles Cloud9 - NoTail,0.9999999999999999,TI5 - EG Champions of TI5,0.9999999999999999,TI5 - Player Profiles VirtusPro - FNG,0.9999999999999999,TI5 - Player Profiles Vici - fy,0.9999999999999999
TI5 - Player Profiles Newbee - Mu,TI5 - Player Profiles Invictus Gaming - Ferrari,0.9999999999999999,TI5 - Player Profiles Fnatic - Kecik-Imba,0.9999999999999999,TI5 - Player Profiles Empire - Alohadance,0.9999999999999999,TI5 - Player Profiles EHOME - ROTK,0.9999999999999999,TI5 - Player Profiles EG - Suma1L,0.9999999999999999,TI5 - Player Profiles Complexity - zfreek,0.9999999999999999,TI5 - Player Profiles Cloud9 - NoTail,0.9999999999999999,TI5 - EG Champions of TI5,0.9999999999999999,TI5 - Player Profiles VirtusPro - FNG,0.9999999999999999,TI5 - Player Profiles Vici - fy,0.9999999999999999
TI5 - Player Profiles TeamSecret - S4,TI5 - Player Profiles Invictus Gaming - Ferrari,0.9999999999999999,TI5 - Player Profiles Fnatic - Kecik-Imba,0.9999999999999999,TI5 - Player Profiles Empire - Alohadance,0.9999999999999999,TI5 - Player Profiles EHOME - ROTK,0.9999999999999999,TI5 - Player Profiles EG - Suma1L,0.9999999999999999,TI5 - Player Profiles Complexity - zfreek,0.9999999999999999,TI5 - Player Profiles Cloud9 - NoTail,0.9999999999999999,TI5 - EG Champions of TI5,0.9999999999999999,TI5 - Player Profiles VirtusPro - FNG,0.9999999999999999,TI5 - Player Profiles Vici - fy,0.9999999999999999
TI5 - Player Profiles Vici - fy,TI5 - Player Profiles Invictus Gaming - Ferrari,0.9999999999999999,TI5 - Player Profiles Fnatic - Kecik-Imba,0.9999999999999999,TI5 - Player Profiles Empire - Alohadance,0.9999999999999999,TI5 - Player Profiles EHOME - ROTK,0.9999999999999999,TI5 - Player Profiles EG - Suma1L,0.9999999999999999,TI5 - Player Profiles Complexity - zfreek,0.9999999999999999,TI5 - Player Profiles Cloud9 - NoTail,0.9999999999999999,TI5 - EG Champions of TI5,0.9999999999999999,TI5 - Player Profiles VirtusPro - FNG,0.9999999999999999,TI5 - CDEC's Journey to The Majors,0.9999999999999999
